Time            fiSYS fiDIA fiMAP  HR   IBI  SV    CO   EJT    TPR Artifact Zao   Cwk Height
s                mmHg  mmHg  mmHg bpm     s  ml   lpm     s     MU _TPSROD2 mMU    MU   mmHg
0,000           [Res] 21071400  
0,000           [Res] 03483511  
0,000           [Res] BF v3.7   
0,000           [Res] BEATF-MF-2
0,000           [Res] BFmf32-2ch
0,000           [Res] mf-vs-3.21
0,000           [Res] TNOsamples
0,000           [Res] un-delayed
0,000           [Res] sfreq100Hz
0,000           [Res] preschan=1
0,000           [Res] p-site=FIN
0,000           [Res] unfiltered
0,005           [Por] Finger fixed, cuff C2
0,000           [Res] lvl-as-is-
0,000           [Res] calibration 100,0, at 12:37:20.000
0,000           [Res] Start sampling at 12:37:20.00
0,005           [Por] Male     34 y 168 cm  78 kg
0,000           [Res] Female   23 y 173 cm  60 kg
0,000           [Res] hitechan=2
0,000           [Res] markchan=0
0,000           [Res] select=EJT
0,545           [Por] Physiocal  on, Hgt off, C2
104,010           118    64    80  51 1,180  80  4,08 0,310  1,180 10000000  65  2,30    127
105,190           126    63    85  73 0,820  75  5,44 0,370  0,937 10000000  65  2,32    127
106,010            78    68    71 171 0,350  13  2,19 0,210  1,938 10001000  65  2,24    127
106,360           108    69    71  48 1,250  13  0,61 0,210  6,959 10100000  65  2,23    127
107,610           108    69    71  54 1,120  13  0,68 0,210  6,242 10100000  65  2,23    127
108,730           108    69    71  59 1,020  13  0,75 0,210  5,660 10100000  65  2,23    127
109,750           108    69    71  81 0,740  13  1,03 0,210  4,121 10100000  65  2,23    127
110,490            99    79    84 150 0,400  13  1,91 0,210  2,646 10100000  65  2,02    127
110,890           145    73    88  54 1,120  56  3,00 0,370  1,760 10000000  65  2,16    127
112,010           112    73    87 176 0,340  41  7,19 0,340  0,723 10000000  65  2,16    127
112,350            97    70    70  85 0,710  26  2,22 0,200  1,891 10000000  65  2,21    127
113,060           113    60    83  60 1,000  67  4,04 0,220  1,225 10000000  66  2,34    127
114,060           128    75    79  60 1,000  53  3,20 0,250  1,476 10000000  65  2,12    127
115,060           127    62    83 182 0,330  59 10,78 0,230  0,459 10000000  65  2,32    127
115,390            86    65    72 136 0,440  30  4,06 0,230  1,064 10000000  65  2,29    127
115,830            92    69    89 162 0,370  22  3,52 0,160  1,512 10000000  65  2,23    127
116,200            87    75    75  78 0,770  18  1,37 0,290  3,262 10001010  65  2,12    127
116,970           122    66    79  70 0,860  60  4,20 0,370  1,132 10000000  65  2,28    127
117,830           124    73    86  46 1,300  74  3,42 0,330  1,500 10000010  65  2,16    127
119,130           125    68    79  55 1,090  54  2,94 0,210  1,602 10000000  65  2,25    127
120,220           121    61    89  58 1,040  97  5,55 0,360  0,964 10001000  66  2,34    127
121,260           128    76    86  97 0,620  51  4,97 0,380  1,038 10001000  65  2,09    127
121,880            97    73    87 188 0,320  38  7,03 0,240  0,744 10000000  65  2,15    127
122,200           132    81    86  59 1,010  44  2,60 0,360  1,990 10000000  65  1,97    127
123,210           119    66    87  64 0,940  59  3,76 0,380  1,392 10001000  65  2,27    127
124,150           149    76    87  61 0,980  65  3,98 0,370  1,307 10000000  65  2,09    127
125,130           134    71    95  63 0,960  79  4,95 0,330  1,145 10001000  65  2,19    127
126,090           143    73    82  55 1,090  61  3,33 0,390  1,477 10001000  65  2,16    127
127,180           121    64    86  62 0,970  61  3,77 0,240  1,368 10000000  65  2,31    127
128,150           135    71    80  58 1,030  62  3,64 0,380  1,318 10001000  65  2,19    127
129,180           115    58    80  68 0,880  65  4,40 0,370  1,084 10000000  66  2,35    127
130,060           123    71    84  60 1,000  66  3,96 0,350  1,272 10000000  65  2,19    127
131,060           133    65    81  59 1,020  65  3,84 0,370  1,261 10000000  65  2,29    127
132,080           115    69    78  59 1,010  57  3,39 0,350  1,371 10000000  65  2,23    127
133,090           118    67    78  61 0,980  54  3,31 0,340  1,413 10001000  65  2,26    127
134,070           116    63    89  64 0,940  63  4,00 0,380  1,331 10000000  65  2,31    127
135,010           135    80    84  49 1,230  48  2,34 0,360  2,153 10001000  65  1,99    127
136,240           121    66    78  52 1,150  60  3,13 0,340  1,485 10000000  65  2,28    127
137,390           132    65    78  58 1,030  69  4,01 0,310  1,167 10001000  65  2,29    127
138,420           118    68    79  57 1,050  53  2,99 0,360  1,585 10000000  65  2,25    127
139,470           125    65    79  51 1,170  53  2,70 0,360  1,755 10100000  65  2,29    127
140,640           125    65    79  51 1,180  53  2,68 0,360  1,768 10100000  65  2,29    127
141,820           125    65    79  55 1,100  53  2,86 0,360  1,657 10100000  65  2,29    127
142,920           111    61    77  65 0,920  53  3,45 0,310  1,339 10100000  66  2,34    127
143,840           122    67    81  58 1,030  57  3,35 0,380  1,455 10000000  65  2,26    127
144,870           127    67    89  70 0,860  62  4,34 0,390  1,233 10000000  65  2,26    127
145,730            84    72    73 200 0,300  13  2,50 0,210  1,746 10000000  65  2,17    127
146,030           134    63    82  52 1,160  74  3,81 0,300  1,283 10000000  65  2,32    127
147,190           133    68    84  57 1,060  67  3,80 0,360  1,318 10000000  65  2,25    127
148,250           136    69    88  61 0,980  70  4,24 0,360  1,238 10000000  65  2,23    127
149,230            93    74    86  44 1,350  23  1,02 0,180  5,073 10000000  65  2,13    127
150,580           128    69    81  56 1,080  56  3,09 0,350  1,577 10001000  65  2,23    127
151,660           131    68    82  49 1,220  64  3,11 0,370  1,581 10000000  65  2,24    127
152,880           124    64    81  55 1,090  64  3,49 0,380  1,383 10000000  65  2,31    127
153,970           123    67    81  59 1,010  59  3,50 0,350  1,392 10000000  65  2,27    127
154,980           142    69    90  52 1,160  82  4,22 0,360  1,283 10000000  65  2,23    127
156,140           125    76    84  50 1,210  57  2,81 0,370  1,793 10001000  65  2,10    127
157,350           121    66    80  51 1,170  63  3,22 0,340  1,495 10001000  65  2,29    127
158,520           113    62    85  57 1,050  63  3,56 0,360  1,432 10000000  65  2,33    127
159,570           120    71    85  54 1,120  52  2,78 0,370  1,823 10000000  65  2,20    127
160,690           105    67    90  58 1,030  59  3,47 0,360  1,547 10000000  65  2,26    127
161,720           131    77    88  51 1,180  58  2,97 0,360  1,772 10001000  65  2,08    127
162,900           126    76    86  55 1,100  47  2,56 0,350  2,015 10000000  65  2,10    127
164,000           127    70    85  51 1,170  64  3,28 0,380  1,559 10000000  65  2,21    127
165,170           121    73    82  55 1,100  51  2,78 0,360  1,769 10001000  65  2,16    127
166,270           128    70    84  51 1,180  61  3,10 0,340  1,616 10001000  65  2,21    127
167,450           129    68    84  47 1,280  73  3,41 0,370  1,482 10001000  65  2,26    127
168,730           126    68    85  51 1,180  73  3,71 0,370  1,370 10000000  65  2,26    127
169,910           124    69    84  50 1,200  68  3,39 0,360  1,486 10000000  65  2,23    127
171,110           119    68    82  50 1,190  64  3,23 0,350  1,527 10000000  65  2,25    127
172,300           117    66    81  55 1,100  59  3,20 0,360  1,518 10000000  65  2,27    127
173,400           114    68    82  61 0,980  53  3,20 0,350  1,542 10000000  65  2,25    127
174,380           117    71    82  51 1,170  57  2,91 0,340  1,695 10000000  65  2,20    127
175,550           120    67    83  43 1,410  72  3,07 0,360  1,627 10001000  65  2,27    127
176,960           128    69    86  44 1,360  75  3,30 0,360  1,559 10001000  65  2,23    127
178,320           130    71    85  44 1,370  71  3,12 0,350  1,639 10000000  65  2,20    127
179,690           129    69    83  44 1,370  68  2,97 0,350  1,676 10001000  65  2,24    127
181,060           127    69    81  44 1,370  64  2,83 0,350  1,722 10000000  65  2,23    127
182,430           123    67    80  43 1,400  68  2,91 0,360  1,654 10000000  65  2,27    127
183,830           121    65    80  43 1,390  69  2,98 0,390  1,605 10000000  65  2,30    127
185,220           118    64    79  43 1,400  67  2,88 0,360  1,645 10000000  65  2,30    127
186,620           115    64    78  43 1,410  65  2,76 0,350  1,701 10000000  65  2,30    127
188,030           114    64    79  43 1,380  66  2,85 0,360  1,652 10000000  65  2,31    127
189,410           114    65    79  44 1,370  66  2,88 0,360  1,635 10100000  65  2,29    127
190,780           114    65    79  43 1,380  66  2,85 0,360  1,652 10100000  65  2,29    127
192,160           114    65    79  42 1,430  66  2,75 0,360  1,712 10100000  65  2,29    127
193,590           115    66    81  42 1,420  63  2,66 0,370  1,827 10001000  65  2,28    127
195,010           114    67    80  45 1,340  55  2,45 0,330  1,965 10000000  65  2,27    127
196,350           116    67    81  41 1,450  63  2,61 0,360  1,856 10000000  65  2,27    127
197,800           115    66    80  42 1,420  66  2,78 0,360  1,732 10001000  65  2,29    127
199,220           111    65    79  43 1,400  60  2,58 0,370  1,837 10001000  65  2,29    127
200,620           113    65    80  43 1,400  67  2,86 0,360  1,683 10001000  65  2,29    127
202,020           113    65    80  43 1,410  68  2,88 0,380  1,666 10000000  65  2,30    127
